Image;Error;
Adirondack-perfect_DEF.csv;0,627771;
Backpack-perfect_DEF.csv;0,230896;
Bicycle1-perfect_DEF.csv;0,528033;
Cable-perfect_DEF.csv;0,396486;
Classroom1-perfect_DEF.csv;0,504753;
Couch-perfect_DEF.csv;0,466736;
Flowers-perfect_DEF.csv;0,510837;
Jadeplant-perfect_DEF.csv;0,309650;
Mask-perfect_DEF.csv;-nan(ind);
Motorcycle-perfect_DEF.csv;0,315389;
Piano-perfect_DEF.csv;0,383450;
Pipes-perfect_DEF.csv;0,376030;
Playroom-perfect_DEF.csv;0,397436;
Playtable-perfect_DEF.csv;-nan(ind);
Recycle-perfect_DEF.csv;0,326353;
Shelves-perfect_DEF.csv;0,309970;
Shopvac-perfect_DEF.csv;0,556089;
Sticks-perfect_DEF.csv;-nan(ind);
Storage-perfect_DEF.csv;0,241835;
Sword1-perfect_DEF.csv;-nan(ind);
Sword2-perfect_DEF.csv;0,481396;
Umbrella-perfect_DEF.csv;0,389658;
Vintage-perfect_DEF.csv;-nan(ind);
