Image;Error;
Adirondack-perfect_FF.csv;0,696894;
Backpack-perfect_FF.csv;0,394288;
Bicycle1-perfect_FF.csv;0,681923;
Cable-perfect_FF.csv;0,303939;
Classroom1-perfect_FF.csv;0,605892;
Couch-perfect_FF.csv;-nan(ind);
Flowers-perfect_FF.csv;0,352419;
Jadeplant-perfect_FF.csv;0,361024;
Mask-perfect_FF.csv;0,176740;
Motorcycle-perfect_FF.csv;0,307854;
Piano-perfect_FF.csv;0,347028;
Pipes-perfect_FF.csv;0,165860;
Playroom-perfect_FF.csv;0,429834;
Playtable-perfect_FF.csv;-nan(ind);
Recycle-perfect_FF.csv;0,522660;
Shelves-perfect_FF.csv;0,399445;
Shopvac-perfect_FF.csv;0,476698;
Sticks-perfect_FF.csv;-nan(ind);
Storage-perfect_FF.csv;0,227026;
Sword1-perfect_FF.csv;-nan(ind);
Sword2-perfect_FF.csv;0,458474;
Umbrella-perfect_FF.csv;0,408042;
Vintage-perfect_FF.csv;-nan(ind);
