Image;Error;
Adirondack-perfect_FF_FP.csv;0,675022;
Backpack-perfect_FF_FP.csv;0,302801;
Bicycle1-perfect_FF_FP.csv;0,565238;
Cable-perfect_FF_FP.csv;0,297342;
Classroom1-perfect_FF_FP.csv;0,605535;
Couch-perfect_FF_FP.csv;0,547205;
Flowers-perfect_FF_FP.csv;0,366259;
Jadeplant-perfect_FF_FP.csv;0,330023;
Mask-perfect_FF_FP.csv;0,108082;
Motorcycle-perfect_FF_FP.csv;0,292812;
Piano-perfect_FF_FP.csv;0,311223;
Pipes-perfect_FF_FP.csv;0,258674;
Playroom-perfect_FF_FP.csv;0,328440;
Playtable-perfect_FF_FP.csv;-nan(ind);
Recycle-perfect_FF_FP.csv;0,358157;
Shelves-perfect_FF_FP.csv;0,283786;
Shopvac-perfect_FF_FP.csv;0,506745;
Sticks-perfect_FF_FP.csv;0,300735;
Storage-perfect_FF_FP.csv;0,253505;
Sword1-perfect_FF_FP.csv;0,157759;
Sword2-perfect_FF_FP.csv;0,301203;
Umbrella-perfect_FF_FP.csv;0,327674;
Vintage-perfect_FF_FP.csv;0,329577;
