Image;Error;
Adirondack-perfect_FP.csv;0,549702;
Backpack-perfect_FP.csv;0,215423;
Bicycle1-perfect_FP.csv;0,472805;
Cable-perfect_FP.csv;0,384515;
Classroom1-perfect_FP.csv;0,511261;
Couch-perfect_FP.csv;0,490281;
Flowers-perfect_FP.csv;0,505346;
Jadeplant-perfect_FP.csv;0,296833;
Mask-perfect_FP.csv;-nan(ind);
Motorcycle-perfect_FP.csv;0,253916;
Piano-perfect_FP.csv;0,345281;
Pipes-perfect_FP.csv;0,303276;
Playroom-perfect_FP.csv;0,347094;
Playtable-perfect_FP.csv;-nan(ind);
Recycle-perfect_FP.csv;0,271418;
Shelves-perfect_FP.csv;0,183015;
Shopvac-perfect_FP.csv;0,569380;
Sticks-perfect_FP.csv;-nan(ind);
Storage-perfect_FP.csv;0,187653;
Sword1-perfect_FP.csv;-nan(ind);
Sword2-perfect_FP.csv;0,256248;
Umbrella-perfect_FP.csv;0,310719;
Vintage-perfect_FP.csv;-nan(ind);
